time [s], adc1, current1, current1_filtered, filt, voltage,
0.721055,128,0.0381028,0.0427326,0.0418398,0.0168457,
0.722427,129,0.0337235,0.0372069,0.042612,0.0183105,
0.723872,130,0.0264718,0.0341502,0.0373982,0.0183105,
0.725223,128,0.030807,0.0337235,0.0352929,0.0178223,
0.726569,127,0.0337235,0.0332994,0.0344317,0.017334,
0.727985,128,0.0341502,0.0337235,0.0339358,0.0175781,
0.72938,128,0.0341502,0.0341502,0.0337775,0.019043,
0.730718,127,0.0332994,0.0332994,0.0337319,0.0175781,
0.732056,127,0.0328777,0.0328777,0.033355,0.0180664,
0.733424,128,0.0320419,0.0328777,0.0330441,0.0175781,
0.734873,128,0.0354452,0.0332994,0.03305,0.0183105,
0.736268,128,0.0328777,0.0332994,0.033248,0.017334,
0.737625,128,0.0328777,0.0328777,0.0329851,0.0185547,
0.739078,129,0.0316278,0.0320419,0.03251,0.0166016,
0.740559,127,0.0328777,0.0320419,0.0322434,0.0180664,
0.741983,128,0.0332994,0.0320419,0.0321052,0.0153809,
0.74387,128,0.0304004,0.0320419,0.0322148,0.017334,
0.745311,122,0.0257162,0.030807,0.0318252,0.0166016,
0.746724,128,0.0299963,0.0304004,0.0312649,0.017334,
0.748069,129,0.0324586,0.030807,0.0308139,0.0175781,
0.749401,129,0.030807,0.0312162,0.0308097,0.017334,
0.750919,127,0.0316278,0.0316278,0.0312942,0.0170898,
0.752668,128,0.0337235,0.0316278,0.0315827,0.0178223,
0.754219,127,0.0304004,0.030807,0.0314579,0.017334,
0.755587,129,0.0272375,0.030807,0.030941,0.0178223,
0.756984,128,0.0253421,0.0276241,0.0308346,0.0170898,
0.758382,128,0.020368,0.0268534,0.028463,0.0175781,
0.759873,126,0.0213926,0.0260928,0.027343,0.0175781,
0.761243,128,0.0196975,0.0253421,0.0264079,0.0175781,
0.762574,128,0.0217391,0.0253421,0.025755,0.0175781,
0.763921,127,0.0217391,0.0224397,0.0245893,0.0170898,
0.765264,127,0.0217391,0.0220881,0.022682,0.0175781,
0.766617,127,0.0224397,0.0220881,0.0223438,0.0180664,
0.768056,127,0.0217391,0.0220881,0.0221982,0.017334,
0.769447,128,0.0231502,0.0224397,0.0223397,0.0180664,
0.770873,128,0.0196975,0.0224397,0.0224168,0.0166016,
0.772218,127,0.0217391,0.0220881,0.0223116,0.017334,
0.773558,128,0.0217391,0.0217391,0.0220414,0.0168457,
0.77512,129,0.0217391,0.0217391,0.0217758,0.0185547,
0.776681,120,0.0217391,0.0217391,0.0217467,0.0168457,
0.778073,128,0.0253421,0.0217391,0.0217406,0.0158691,
0.77942,128,0.0257162,0.0224397,0.0218342,0.0153809,
0.780763,130,0.0532701,0.0231502,0.0223008,0.017334,
0.782207,128,0.0666652,0.0257162,0.0237759,0.017334,
0.783569,127,0.0942721,0.0287989,0.0272507,0.017334,
0.7852,128,0.0928854,0.0287989,0.0285407,0.017334,
0.786804,128,0.0949692,0.0586761,0.0349684,0.0170898,
0.78821,128,0.0915087,0.0887853,0.0610645,0.0170898,
0.789646,127,0.0874387,0.0887853,0.0823727,0.0180664,
0.791058,129,0.069038,0.0815028,0.0845382,0.017334,
0.792395,122,0.0666652,0.069038,0.0765072,0.0168457,
0.793746,128,0.0714508,0.068441,0.072299,0.0170898,
0.795096,127,0.0751452,0.0696374,0.0704414,0.0166016,
0.796444,127,0.0763966,0.0751452,0.0718107,0.0163574,
0.797878,128,0.0726722,0.0751452,0.0748454,0.0183105,
0.799236,127,0.0643325,0.069038,0.0726967,0.0175781,
0.800604,128,0.061473,0.0666652,0.0695779,0.0163574,
0.802057,128,0.0649119,0.0660783,0.0678993,0.0166016,
0.803416,127,0.0559418,0.0660783,0.0663516,0.0146484,
0.804817,127,0.0486188,0.0575749,0.0639843,0.0161133,
0.806214,129,0.0516971,0.0543313,0.0592621,0.017334,
0.807563,128,0.0532701,0.0532701,0.056218,0.0158691,
