time [s],current,servo1.currentSetpoint,setpwm,
3.58312,0.838758,0,400,
3.58641,0.838468,0,400,
3.58946,0.839115,0,400,
3.59253,0.838437,0,400,
3.59545,0.839616,0,400,
3.59828,0.839831,0,400,
3.60196,0.84033,0,400,
3.60459,0.840776,0,400,
3.60767,0.84037,0,400,
3.61074,0.840485,0,400,
3.61416,0.840836,0,400,
3.61723,0.840807,0,400,
3.62035,0.841082,0,400,
3.6231,0.841641,0,400,
3.62594,0.840634,0,400,
3.62921,0.840918,0,400,
3.63225,0.840786,0,400,
3.63542,0.841054,0,400,
3.63823,0.841063,0,400,
3.64107,0.84188,0,400,
3.6441,0.84137,0,400,
3.64706,0.841485,0,400,
3.64975,0.841483,0,400,
3.65257,0.841911,0,400,
3.65575,0.842268,0,400,
3.65845,0.841922,0,400,
3.66135,0.841773,0,400,
3.66413,0.841442,0,400,
3.66689,0.84253,0,400,
3.67007,0.842005,0,400,
3.67323,0.842461,0,400,
3.67616,0.842026,0,400,
3.6789,0.842869,0,400,
3.68198,0.842351,0,400,
3.68523,0.84345,0,400,
3.68825,0.842613,0,400,
3.69116,0.843363,0,400,
3.69389,0.843279,0,400,
3.69736,0.843764,0,400,
3.70034,0.843691,0,400,
3.7033,0.844094,0,400,
3.70605,0.843061,0,400,
3.70943,0.84182,0,400,
3.7124,0.840546,0,400,
3.71534,0.839703,0,400,
3.71805,0.838912,0,400,
3.72108,0.839187,0,400,
3.72408,0.839388,0,400,
3.72723,0.839472,0,400,
3.73012,0.839692,0,400,
3.73286,0.840543,0,400,
3.73586,0.839547,0,400,
3.73905,0.841248,0,400,
3.74174,0.841115,0,400,
3.74456,0.841776,0,400,
3.74723,0.842068,0,400,
3.75089,0.842492,0,400,
3.75394,0.842452,0,400,
3.75704,0.843224,0,400,
3.75997,0.84293,0,400,
3.76275,0.843265,0,400,
3.7656,0.843656,0,400,
3.76841,0.843765,0,400,
3.77143,0.842637,0,400,
3.77424,0.843328,0,400,
3.7776,0.843016,0,400,
3.78078,0.844901,0,400,
3.7836,0.843885,0,400,
3.78635,0.844882,0,400,
3.78962,0.844554,0,400,
3.79263,0.845042,0,400,
3.79542,0.844152,0,400,
3.79807,0.844541,0,400,
3.80077,0.843935,0,400,
3.80467,0.844038,0,400,
3.80812,0.844965,0,400,
3.81164,0.844537,0,400,
3.81475,0.844355,0,400,
3.81856,0.845153,0,400,
3.82143,0.844033,0,400,
3.82413,0.843814,0,400,
3.82729,0.843933,0,400,
3.83125,0.843664,0,400,
3.83504,0.842249,0,400,
3.83781,0.843066,0,400,
3.84087,0.842701,0,400,
3.84395,0.843207,0,400,
3.84705,0.842498,0,400,
3.85042,0.841462,0,400,
3.85315,0.841038,0,400,
3.85698,0.842079,0,400,
3.86016,0.842336,0,400,
3.86344,0.842669,0,400,
3.86642,0.842483,0,400,
3.86993,0.842536,0,400,
3.87294,0.842459,0,400,
3.87588,0.843027,0,400,
3.87926,0.842804,0,400,
3.88246,0.842366,0,400,
3.88571,0.843519,0,400,
3.88849,0.842758,0,400,
3.89159,0.844426,0,400,
3.89442,0.84308,0,400,
3.89777,0.844057,0,400,
3.9008,0.843173,0,400,
3.90377,0.843253,0,400,
3.90663,0.842639,0,400,
3.91004,0.842735,0,400,
3.91343,0.844087,0,400,
3.91636,0.843152,0,400,
3.91913,0.843182,0,400,
3.92225,0.843007,0,400,
3.92536,0.843488,0,400,
3.92813,0.844122,0,400,
3.93088,0.843774,0,400,
3.93371,0.843302,0,400,
3.93745,0.843785,0,400,
3.94077,0.843093,0,400,
3.94347,0.843132,0,400,
3.94637,0.842827,0,400,
3.95002,0.843429,0,400,
3.95316,0.844046,0,400,
3.95625,0.843831,0,400,
3.95929,0.843624,0,400,
3.96226,0.843223,0,400,
3.96547,0.842961,0,400,
3.96861,0.842829,0,400,
3.97162,0.842878,0,400,
3.97426,0.842547,0,400,
3.97759,0.842649,0,400,
3.98064,0.842372,0,400,
3.98357,0.842435,0,400,
3.98675,0.842341,0,400,
3.98994,0.841467,0,400,
3.9929,0.841223,0,400,
3.9958,0.841161,0,400,
3.99892,0.841524,0,400,
4.00201,0.841356,0,400,
4.00503,0.841818,0,400,
4.00788,0.841475,0,400,
4.01095,0.841858,0,400,
